;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
9085;femenino;comercio;tienda_de_helados;robledo;1;7;2017-02-15;7300000.0;microempresarial
9086;femenino;comercio;criadero_de_animales_;barrio_caicedo;2;9;2017-04-18;7000000.0;microempresarial
9087;masculino;comercio;productos_de_belleza;sucre;3;8;2019-05-17;6700000.0;microempresarial
9088;femenino;comercio;tienda;santa_lucia;3;12;2017-04-05;3000000.0;microempresarial
9089;femenino;industria;fabrica_de_;popular;2;1;2018-10-30;3500000.0;microempresarial
9091;femenino;industria;fabrica_de_;san_javier_no_1;3;13;2018-03-05;5000000.0;microempresarial
9092;femenino;comercio;almacen_de_ropa_en_;robledo;1;7;2018-02-21;4500000.0;microempresarial
9093;masculino;servicio;fabrica_de_;manrique_central_no__2;2;3;2016-06-22;6890000.0;microempresarial
9094;femenino;industria;fabrica_de_;manrique_central_no__2;2;3;2018-02-02;6000000.0;microempresarial
9095;masculino;comercio;tienda_de_helados;cabecera_san_cristobal;2;60;2017-04-17;7377000.0;microempresarial
9096;femenino;comercio;sembrados;cabecera_san_cristobal;2;60;2017-09-06;7300000.0;microempresarial
9097;femenino;servicio;variedades;san_javier_no_1;2;13;2017-03-28;7370000.0;microempresarial
9098;femenino;comercio;variedades;enciso;3;8;2019-06-19;8281000.0;microempresarial
9099;femenino;comercio;variedades;robledo;2;7;2018-11-20;4500000.0;microempresarial
9100;masculino;servicio;cerrajeria;barrio_caicedo;1;9;2018-05-02;3000000.0;microempresarial
9101;masculino;comercio;tienda;la_francia;1;2;2016-05-26;6800000.0;microempresarial
9102;femenino;industria;fabrica_de_;juan_xxiii_la_quiebra;2;13;2016-04-19;6800000.0;microempresarial
9103;femenino;comercio;tienda;barrio_caicedo;1;9;2017-03-31;5000000.0;microempresarial
9104;femenino;agropecuaria;fabrica_de_;pedregal;3;6;2017-01-27;7377000.0;microempresarial
9105;masculino;servicio;mantenimiento_en_;manrique_central_no__1;2;4;2019-01-18;6000000.0;microempresarial
9106;masculino;comercio;almacen_de_ropa_en_;granizal;1;1;2018-03-15;4000000.0;microempresarial
9107;femenino;comercio;tienda;manrique_central_no__2;2;3;2016-06-10;6890000.0;microempresarial
9108;femenino;comercio;variedades;andalucia;2;2;2016-06-17;6890000.0;microempresarial
9109;masculino;comercio;tienda;castilla;3;5;2019-02-20;10000000.0;microempresarial
9110;femenino;industria;fabrica_de_;manrique_oriental;2;3;2018-05-09;7000000.0;microempresarial
9111;femenino;comercio;productos_de_belleza;cordoba;3;7;2016-09-09;680000.0;microempresarial
9112;femenino;comercio;variedades;cabecera_san_cristobal;1;60;2018-05-03;7800000.0;microempresarial
9113;femenino;comercio;variedades;enciso;1;8;2018-11-26;781000.0;microempresarial
9114;masculino;industria;fabrica_de_;santa_cruz;2;2;2018-04-23;4500000.0;microempresarial
9115;masculino;agropecuaria;distribuidora_de_;jesus_nazareno;3;10;2018-02-19;3050000.0;microempresarial
9116;femenino;industria;fabrica_de_;robledo;1;7;2017-12-20;5000000.0;microempresarial
9117;masculino;servicio;lavanderia;manrique_central_no__2;2;3;2016-05-31;6890000.0;microempresarial
9118;femenino;comercio;variedades;castilla;3;5;2017-09-26;7375000.0;microempresarial
9119;masculino;comercio;comidas_rapidas;doce_de_octubre_no_1;2;6;2017-07-04;7300000.0;microempresarial
9120;masculino;industria;mantenimiento_en_;popular;1;1;2018-03-23;7800000.0;microempresarial
9121;femenino;comercio;variedades;el_diamante;2;7;2018-01-05;7800000.0;microempresarial
9122;femenino;servicio;recreativo_educativo;manrique_central_no__1;2;4;2017-03-14;7300000.0;microempresarial
9123;femenino;servicio;mantenimiento_en_;belen;3;16;2019-06-06;8281000.0;microempresarial
9125;femenino;comercio;variedades;manrique_central_no__2;2;3;2018-04-17;3000000.0;microempresarial
9126;femenino;agropecuaria;viveros_;san_javier_no_1;1;13;2016-04-20;6000000.0;microempresarial
9127;masculino;servicio;barberia;florencia;2;6;2019-01-23;8200000.0;microempresarial
9128;femenino;industria;fabrica_de_;manrique_central_no__2;2;3;2019-01-15;1500000.0;microempresarial
9129;femenino;comercio;comidas_rapidas;robledo;2;7;2018-08-23;7800000.0;microempresarial
9130;femenino;comercio;productos_de_belleza;picacho;2;6;2019-05-16;8000000.0;microempresarial
9131;femenino;servicio;peluqueria;san_javier_no_1;2;13;2018-07-12;7800000.0;microempresarial
9132;masculino;comercio;variedades;versalles_no__1;1;3;2017-11-28;7300000.0;microempresarial
9133;femenino;comercio;papeleria;aures_no__2;2;7;2018-07-27;5000000.0;microempresarial
9134;femenino;servicio;peluqueria;castilla;3;5;2017-09-27;5000000.0;microempresarial
9135;masculino;servicio;mantenimiento_en_;robledo;3;7;2017-01-25;7377000.0;microempresarial
9136;femenino;comercio;cafeteria;robledo;2;7;2017-09-05;7300000.0;microempresarial
9137;masculino;comercio;peluqueria;francisco_antonio_zea;3;5;2018-08-22;7800000.0;microempresarial
9138;femenino;comercio;peluqueria;manrique_central_no__1;2;4;2018-08-01;5000000.0;microempresarial
9139;femenino;comercio;variedades;la_milagrosa;3;9;2017-03-01;7000000.0;microempresarial
9140;femenino;comercio;comidas_rapidas;cabecera_san_cristobal;2;60;2018-05-21;1500000.0;microempresarial
9141;femenino;industria;fabrica_de_;popular;2;1;2018-03-23;7800000.0;microempresarial
9142;masculino;comercio;tienda;manrique_central_no__2;2;3;2017-12-22;4400000.0;microempresarial
9143;femenino;industria;tienda;el_salvador;2;9;2018-05-08;3200000.0;microempresarial
9144;masculino;comercio;comidas_rapidas;aranjuez;3;4;2016-04-21;6890000.0;microempresarial
9145;femenino;industria;papeleria;santa_cruz;2;2;2016-09-26;6890000.0;microempresarial
9146;femenino;servicio;peluqueria;manrique_central_no__2;3;3;2017-04-18;2000000.0;microempresarial
9147;masculino;industria;fotografia;popular;1;1;2018-05-24;7800000.0;microempresarial
9148;masculino;industria;fabrica_de_;cabecera_san_cristobal;2;60;2018-05-16;1000000.0;microempresarial
9149;femenino;industria;panaderia;enciso;1;8;2018-02-14;1500000.0;microempresarial
9150;masculino;comercio;fabrica_de_alimentos;popular;1;1;2018-05-28;2000000.0;microempresarial
9151;masculino;comercio;variedades;robledo;1;7;2016-11-22;6000000.0;microempresarial
9152;femenino;industria;variedades;aranjuez;3;4;2017-03-13;7300000.0;microempresarial
9153;femenino;industria;fabrica_de_;robledo;1;7;2018-08-29;5000000.0;microempresarial
9154;femenino;comercio;montallantas;manrique_central_no__1;2;4;2019-05-15;1175000.0;microempresarial
9155;masculino;industria;fabrica_de_;manrique_central_no__1;2;4;2018-05-08;7800000.0;microempresarial
9156;femenino;servicio;servicios_;la_ladera;3;8;2018-05-07;3000000.0;microempresarial
9158;femenino;comercio;comidas_rapidas;cabecera_san_antonio_;1;80;2018-01-15;6000000.0;microempresarial
9159;femenino;comercio;tienda;barrio_caicedo;2;9;2018-10-31;7000000.0;microempresarial
9160;masculino;servicio;taller_de_mecanica;belen;2;16;2017-10-19;6000000.0;microempresarial
9161;femenino;comercio;restaurante;robledo;3;7;2016-10-04;3000000.0;microempresarial
9162;masculino;comercio;panaderia;santa_elena_central;2;90;2018-09-05;7800000.0;microempresarial
9163;femenino;servicio;montallantas;olaya_herrera;1;7;2016-11-28;6800000.0;microempresarial
9164;femenino;agropecuaria;criadero_de_animales_;altavista;3;16;2016-07-27;13500000.0;agropecuaria
9165;femenino;comercio;drogueria;popular;2;1;2018-05-29;19000000.0;microempresarial
9166;masculino;comercio;mantenimiento_en_;calasanz;2;12;2016-08-23;6800000.0;microempresarial
9167;masculino;comercio;variedades;enciso;2;8;2018-01-25;780000.0;microempresarial
9168;masculino;servicio;comidas_rapidas;belen;3;5;2018-01-30;3000000.0;microempresarial
9169;femenino;comercio;comidas_rapidas;popular;2;1;2018-03-13;7300000.0;microempresarial
9170;femenino;comercio;miscelanea;enciso;2;8;2018-07-10;2000.0;microempresarial
9171;femenino;industria;fabrica_de_;buenos_aires;3;9;2018-03-20;7300000.0;microempresarial
9172;femenino;servicio;peluqueria;toscana;2;5;2017-08-30;4000000.0;microempresarial
9173;femenino;industria;fabrica_de_alimentos;san_javier_no_1;1;13;2018-05-28;6000000.0;microempresarial
