;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;comercio;fabrica_de_;prado;3;10;2018-07-13;5000000.0;microempresarial
1;femenino;servicio;recreativo_educativo;barrio_caicedo;1;9;2017-10-30;6000000.0;microempresarial
2;femenino;comercio;tienda;aranjuez;2;4;2017-08-03;7300000.0;microempresarial
3;masculino;comercio;variedades;cabecera_san_cristobal;3;60;2017-11-20;7000000.0;microempresarial
4;femenino;comercio;fabrica_de_;robledo;2;7;2017-02-23;5000000.0;microempresarial
5;femenino;comercio;variedades;picachito;1;6;2017-05-31;7000000.0;microempresarial
6;femenino;industria;fabrica_de_;guayabal;3;15;2016-02-20;2000000.0;microempresarial
7;femenino;comercio;tienda;carpinelo;1;1;2017-02-14;3300000.0;microempresarial
8;masculino;comercio;variedades;belalcazar;2;5;2018-05-07;7800000.0;microempresarial
9;femenino;comercio;variedades;manrique_central_no__1;1;4;2018-05-03;7800000.0;microempresarial
10;femenino;industria;fabrica_de_;manrique_central_no__2;2;3;2017-02-28;4500000.0;microempresarial
11;masculino;agropecuaria;sembrados;santa_elena_central;2;90;2016-12-23;13000000.0;agropecuaria
12;femenino;comercio;comidas_rapidas;andalucia;2;2;2018-04-12;7800000.0;microempresarial
13;masculino;industria;fabrica_de_;san_javier_no_1;1;13;2018-08-23;4000000.0;microempresarial
14;masculino;servicio;variedades;belencito;2;13;2018-07-30;7800000.0;microempresarial
15;masculino;comercio;miscelanea;centro_admtivo;3;10;2018-02-14;1000000.0;microempresarial
16;femenino;comercio;variedades;cabecera_san_antonio_;2;80;2017-11-16;7000000.0;microempresarial
17;femenino;servicio;cafe_e_internet;manrique_central_no__1;3;4;2019-04-29;8000000.0;microempresarial
18;masculino;comercio;tienda;villa_hermosa;3;8;2018-06-27;5000000.0;microempresarial
19;femenino;comercio;venta_de_calzado;playon_de_los_;2;2;2017-02-27;7000000.0;microempresarial
20;femenino;comercio;productos_de_belleza;buenos_aires;3;9;2017-07-24;7300000.0;microempresarial
21;masculino;comercio;tienda;manrique_central_no__1;2;4;2018-09-14;6000000.0;microempresarial
22;femenino;comercio;tienda;popular;2;1;2018-10-11;6000000.0;microempresarial
23;femenino;comercio;almacen_de_ropa_en_;robledo;2;7;2018-02-15;6000000.0;microempresarial
24;femenino;comercio;variedades;tricentenario;3;5;2017-11-20;4000000.0;microempresarial
25;masculino;servicio;barberia;calasanz;2;12;2017-09-26;7377000.0;microempresarial
26;masculino;industria;fabrica_de_;aranjuez;3;4;2016-10-24;6500000.0;microempresarial
27;femenino;comercio;comidas_rapidas;buenos_aires;2;9;2019-06-28;1500000.0;microempresarial
28;masculino;comercio;variedades;andalucia;2;2;2018-08-17;7800000.0;microempresarial
29;femenino;servicio;peluqueria;pedregal;3;6;2017-10-27;7300000.0;microempresarial
30;femenino;servicio;jardineria;la_francia;2;2;2017-06-12;7377000.0;microempresarial
31;femenino;comercio;variedades;santa_cruz;2;2;2017-06-14;4000000.0;microempresarial
32;femenino;comercio;tienda;san_javier_no_1;2;13;2018-02-06;7800000.0;microempresarial
33;femenino;comercio;variedades;la_floresta;3;12;2017-09-05;7300000.0;microempresarial
34;femenino;comercio;variedades;belen;3;16;2016-09-16;6890000.0;microempresarial
35;masculino;comercio;tienda;las_brisas;3;5;2018-01-15;6000000.0;microempresarial
36;femenino;comercio;peluqueria;castilla;3;5;2017-08-11;2500000.0;microempresarial
37;masculino;industria;fabrica_de_alimentos;san_javier_no_1;2;13;2016-10-27;6800000.0;microempresarial
38;femenino;comercio;almacen_de_ropa_en_;cabecera_san_antonio_;2;80;2016-09-22;4000000.0;microempresarial
39;masculino;industria;variedades;cabecera_san_antonio_;2;80;2017-07-24;5000000.0;credioportuno
40;masculino;industria;fabrica_de_;guayabal;2;15;2016-03-02;4000000.0;microempresarial
41;masculino;industria;fabrica_de_;belen;2;16;2016-05-24;6500000.0;microempresarial
42;femenino;comercio;comidas_rapidas;santander;2;6;2018-07-27;1200000.0;microempresarial
43;femenino;comercio;almacen_de_ropa_en_;prado;3;10;2017-11-20;7000000.0;microempresarial
44;femenino;comercio;comidas_rapidas;santa_cruz;2;2;2018-03-22;1500000.0;microempresarial
45;masculino;industria;fabrica_de_traperos;aranjuez;3;4;2016-02-24;2000000.0;microempresarial
46;femenino;comercio;variedades;castilla;3;5;2017-02-15;4000000.0;microempresarial
47;masculino;industria;fabrica_de_alimentos;san_javier_no_2;3;13;2016-02-29;6890000.0;microempresarial
49;masculino;industria;fabrica_de_;san_javier_no_1;1;13;2017-08-15;6000000.0;microempresarial
50;masculino;servicio;variedades;pedregal;3;6;2017-04-24;7000000.0;microempresarial
51;masculino;comercio;panaderia;cabecera_san_antonio_;2;80;2017-04-27;3000000.0;microempresarial
52;masculino;servicio;mantenimiento_en_;la_milagrosa;2;9;2018-05-16;7000000.0;microempresarial
53;masculino;comercio;variedades;la_floresta;3;12;2016-08-16;6000000.0;microempresarial
54;femenino;comercio;fabrica_de_;san_javier_no_1;1;13;2017-10-05;7300000.0;microempresarial
55;masculino;comercio;tienda;cabecera_san_antonio_;3;80;2018-05-21;5500000.0;microempresarial
56;femenino;comercio;tienda_de_helados;robledo;3;7;2018-05-23;7800000.0;microempresarial
57;femenino;comercio;variedades;tricentenario;3;5;2017-04-27;7000000.0;microempresarial
58;femenino;comercio;miscelanea;villa_hermosa;3;8;2016-12-19;6890000.0;microempresarial
59;masculino;servicio;mantenimiento_en_;andalucia;1;2;2016-01-22;6890000.0;microempresarial
60;femenino;comercio;tienda;bombona_no__1;3;10;2016-10-05;4000000.0;microempresarial
61;masculino;industria;fabrica_de_;santa_cruz;2;2;2016-09-30;6890000.0;microempresarial
62;femenino;comercio;almacen_de_ropa_en_;manrique_oriental;2;3;2017-02-08;1200000.0;microempresarial
63;femenino;comercio;fabrica_de_;villa_liliam;1;13;2019-02-06;7800000.0;microempresarial
64;masculino;comercio;tienda;kennedy;2;6;2018-09-27;5000000.0;microempresarial
65;femenino;comercio;variedades;robledo;2;7;2016-10-28;6000000.0;microempresarial
66;femenino;comercio;tienda;santa_cruz;2;2;2016-04-04;4000000.0;microempresarial
67;femenino;comercio;variedades;popular;2;1;2016-02-29;6500000.0;microempresarial
68;masculino;comercio;comidas_rapidas;doce_de_octubre_no_1;2;6;2018-05-21;5000000.0;microempresarial
69;masculino;servicio;bares;san_javier_no_1;2;13;2018-07-16;5000000.0;microempresarial
70;masculino;industria;fabrica_de_;buenos_aires;3;9;2018-03-06;7800000.0;microempresarial
71;femenino;comercio;peluqueria;pedregal;3;6;2017-04-18;7000000.0;microempresarial
72;femenino;comercio;almacen_de_ropa_en_;robledo;2;7;2018-07-03;4000000.0;microempresarial
73;femenino;comercio;tienda;robledo;2;7;2018-09-05;5000000.0;microempresarial
74;femenino;comercio;peluqueria;robledo;2;7;2018-05-03;6000000.0;microempresarial
75;femenino;agropecuaria;criadero_de_animales_;la_floresta;2;12;2016-06-14;6890000.0;microempresarial
76;masculino;comercio;almacen_de_ropa_en_;popular;1;1;2018-10-18;7800000.0;microempresarial
77;masculino;comercio;tienda;la_milagrosa;3;9;2018-02-20;5000000.0;microempresarial
79;femenino;comercio;restaurante;enciso;3;8;2017-03-09;7000000.0;microempresarial
80;femenino;servicio;organización_y_;pedregal;3;6;2017-10-12;7377000.0;microempresarial
81;femenino;industria;fabrica_de_;el_salvador;2;9;2017-06-06;7377000.0;microempresarial
82;femenino;industria;fabrica_de_;manrique_central_no__1;2;4;2018-04-27;3000000.0;microempresarial
83;masculino;servicio;restaurante;belen;3;16;2017-04-03;7350000.0;microempresarial
84;femenino;comercio;variedades;buenos_aires;3;9;2017-06-20;1000000.0;microempresarial
85;masculino;comercio;tienda;aranjuez;1;4;2017-09-04;3000000.0;microempresarial
86;femenino;servicio;peluqueria;el_salvador;2;60;2017-09-19;3000000.0;microempresarial
87;femenino;industria;fabrica_de_;la_esperanza;1;6;2018-04-12;3000000.0;microempresarial
88;femenino;comercio;panaderia;playon_de_los_;2;2;2016-11-22;6000000.0;microempresarial
89;femenino;comercio;almacen_de_ropa_en_;santa_cruz;2;2;2017-02-21;6000000.0;microempresarial
90;masculino;comercio;tienda;robledo;1;7;2017-12-18;5000000.0;microempresarial
91;femenino;comercio;comidas_rapidas;robledo;3;7;2018-01-29;7800000.0;microempresarial
92;femenino;industria;fabrica_de_;barrio_caicedo;2;9;2017-03-16;5000000.0;microempresarial
93;masculino;servicio;variedades;santo_domingo_savio_;1;1;2018-02-28;7000000.0;microempresarial
94;femenino;comercio;variedades;aranjuez;2;4;2016-08-25;3000000.0;microempresarial
95;masculino;servicio;comidas_rapidas;robledo;2;7;2017-03-29;7377000.0;microempresarial
96;femenino;comercio;tienda;popular;2;1;2017-06-29;7300000.0;microempresarial
97;femenino;comercio;almacen_de_ropa_en_;robledo;2;7;2017-03-09;6000000.0;microempresarial
98;masculino;comercio;tienda;el_salvador;3;9;2016-04-12;1000000.0;microempresarial
99;femenino;comercio;miscelanea;centro_admtivo;1;10;2018-02-15;5000000.0;microempresarial
100;femenino;comercio;variedades;doce_de_octubre_no_1;2;6;2017-03-02;3000000.0;microempresarial
101;masculino;comercio;fabrica_de_;centro_admtivo;2;10;2018-01-24;4500000.0;microempresarial
102;femenino;comercio;fabrica_de_alimentos;campo_valdes_no__2;1;3;2017-11-24;3000000.0;microempresarial
103;masculino;comercio;variedades;campo_valdes_no__1;3;4;2018-06-06;4000000.0;microempresarial
104;femenino;servicio;fabrica_de_arepas;villa_hermosa;3;8;2016-08-24;1050000.0;microempresarial
105;femenino;industria;carpinteria;belen;3;16;2018-01-30;7800000.0;microempresarial
106;femenino;comercio;variedades;calasanz;3;12;2018-05-16;3000000.0;microempresarial
108;femenino;servicio;variedades;las_palmas;2;10;2017-12-22;4400000.0;microempresarial
109;masculino;comercio;tienda;girardot;3;5;2019-05-16;8200000.0;microempresarial
110;masculino;servicio;drogueria;cabecera_san_cristobal;2;60;2018-07-12;7800000.0;microempresarial
111;femenino;industria;fabrica_de_;moravia;2;4;2018-06-01;7800000.0;microempresarial
112;femenino;comercio;tienda;enciso;2;8;2017-04-18;7000000.0;microempresarial
113;femenino;comercio;almacen_de_ropa_en_;cabecera_san_antonio_;2;80;2017-02-09;7377000.0;microempresarial
114;femenino;comercio;tienda_de_helados;san_javier_no_1;2;13;2017-09-27;30000000.0;empresarial_ed__
115;femenino;comercio;almacen_de_ropa_en_;antonio_nariño;2;13;2016-08-16;6890000.0;microempresarial
116;masculino;comercio;productos_de_mar;santa_cruz;2;2;2018-06-07;2500000.0;microempresarial
117;femenino;agropecuaria;criadero_de_animales_;cabecera_san_antonio_;2;80;2017-12-05;7300000.0;microempresarial
118;masculino;servicio;cafe_e_internet;moravia;3;4;2018-02-13;3000000.0;microempresarial
119;femenino;industria;fabrica_de_;popular;2;1;2018-08-24;7800000.0;microempresarial
120;masculino;industria;ebanistaria;manrique_oriental;2;3;2016-12-06;6500000.0;microempresarial
121;femenino;comercio;variedades;las_palmas;2;8;2018-05-22;4400000.0;microempresarial
122;masculino;agropecuaria;sembrados;santa_elena_central;2;90;2017-07-26;10000000.0;agropecuaria
123;femenino;comercio;variedades;aranjuez;3;4;2018-02-02;36.0;microempresarial
124;masculino;industria;fabrica_de_calzado;el_socorro;2;13;2017-12-12;7370000.0;microempresarial
125;masculino;industria;fabrica_de_;doce_de_octubre_no_1;1;6;2016-07-27;6800000.0;microempresarial
126;femenino;comercio;fabrica_de_helados;manrique_central_no__1;2;4;2016-10-04;6000000.0;microempresarial
127;femenino;comercio;miscelanea;lopez_de_mesa;3;7;2017-10-18;2000000.0;microempresarial
128;femenino;comercio;bares;aures_no__2;2;7;2019-03-01;2500000.0;microempresarial
129;masculino;servicio;variedades;popular;2;1;2017-08-31;5000000.0;microempresarial
130;femenino;comercio;miscelanea;buenos_aires;2;9;2017-01-24;7370000.0;microempresarial
131;femenino;comercio;papeleria;cabecera_san_antonio_;2;80;2018-12-11;2000000.0;microempresarial
132;masculino;servicio;restaurante;centro_admtivo;3;10;2017-11-08;4000000.0;microempresarial
133;femenino;comercio;carniceria;robledo;3;7;2017-10-13;4000000.0;microempresarial
134;femenino;industria;fabrica_de_;castilla;2;5;2019-01-18;8200000.0;microempresarial
135;femenino;comercio;comidas_rapidas;san_jose_de_la_cima_no__;1;3;2018-02-16;2000000.0;microempresarial
136;femenino;servicio;comidas_rapidas;palermo;1;4;2016-08-18;3500000.0;microempresarial
137;masculino;servicio;tienda;13_de_noviembre;1;8;2017-08-15;7200000.0;microempresarial
138;femenino;servicio;mantenimiento_en_;tejelo;3;5;2017-04-03;7377000.0;microempresarial
139;femenino;industria;fabrica_de_;doce_de_octubre_no_1;1;6;2016-04-15;2000000.0;microempresarial
140;femenino;comercio;variedades;francisco_antonio_zea;2;5;2018-02-09;781000.0;microempresarial
141;femenino;comercio;tienda;picacho;1;6;2019-05-29;8200000.0;microempresarial
142;masculino;comercio;almacen_de_ropa_en_;girardot;3;5;2017-02-23;3000000.0;microempresarial
143;masculino;industria;carpinteria;manrique_oriental;1;3;2016-12-16;6900000.0;microempresarial
144;femenino;servicio;peluqueria;buenos_aires;3;9;2017-06-13;7377000.0;microempresarial
145;femenino;comercio;variedades;el_salvador;2;9;2017-10-27;6500000.0;microempresarial
146;masculino;servicio;cafeteria;santa_elena_central;2;90;2016-05-16;6000000.0;microempresarial
147;masculino;servicio;barberia;robledo;2;7;2018-05-08;6000000.0;microempresarial
148;masculino;comercio;peluqueria;belen;3;16;2018-06-08;7800000.0;microempresarial
149;femenino;industria;fabrica_de_;la_loma_oriental;2;60;2016-12-16;6890000.0;microempresarial
150;masculino;servicio;barberia;la_loma;1;60;2018-08-24;7800000.0;microempresarial
151;femenino;servicio;cafe_e_internet;buenos_aires;3;9;2016-12-05;6890000.0;microempresarial
152;femenino;servicio;fabrica_de_;castilla;3;5;2017-02-09;7377000.0;microempresarial
153;masculino;comercio;variedades;barrio_caicedo;2;9;2017-10-24;7300000.0;microempresarial
154;masculino;industria;fabrica_de_;manrique_oriental;2;3;2018-06-18;4000000.0;microempresarial
155;masculino;servicio;peluqueria;robledo;2;7;2018-02-21;7000000.0;microempresarial
156;femenino;servicio;comidas_rapidas;florencia;3;5;2018-10-18;1500000.0;microempresarial
157;femenino;comercio;comidas_rapidas;andalucia;2;2;2018-06-21;5000000.0;microempresarial
158;masculino;servicio;mantenimiento_en_;enciso;3;8;2018-09-27;7800000.0;microempresarial
159;masculino;comercio;comidas_rapidas;doce_de_octubre_no_1;2;6;2018-10-24;4000000.0;microempresarial
160;femenino;industria;fabrica_de_;manrique_central_no__2;2;3;2019-06-12;4500000.0;microempresarial
161;masculino;industria;fabrica_de_muebles;cabecera_san_cristobal;3;60;2018-10-26;7800000.0;microempresarial
162;femenino;comercio;comidas_rapidas;aranjuez;3;4;2017-06-13;4000000.0;microempresarial
163;masculino;industria;fabrica_de_alimentos;robledo;3;7;2018-11-01;7800000.0;microempresarial
164;femenino;comercio;tienda;robledo;2;7;2017-02-13;5000000.0;microempresarial
165;femenino;comercio;comidas_rapidas;san_javier_no_1;1;13;2018-03-14;7800000.0;microempresarial
166;femenino;servicio;cafe_e_internet;robledo;1;7;2016-06-24;6000000.0;microempresarial
167;femenino;industria;fabrica_de_;manrique_central_no__1;1;4;2018-11-13;2500000.0;microempresarial
168;femenino;comercio;legumbreria;manrique_central_no__2;2;3;2016-04-14;6000000.0;microempresarial
169;masculino;servicio;cafe_e_internet;buenos_aires;3;9;2018-02-06;4000000.0;microempresarial
170;femenino;comercio;variedades;robledo;1;7;2018-08-24;7800000.0;microempresarial
171;femenino;industria;fabrica_de_;la_floresta;2;13;2018-12-21;5000000.0;microempresarial
172;femenino;comercio;variedades;cabecera_san_antonio_;2;80;2016-06-17;6800000.0;microempresarial
173;masculino;comercio;panaderia;pedregal_alto;3;60;2017-12-04;7000000.0;microempresarial
174;masculino;comercio;ferreteria;villa_del_socorro;1;2;2018-02-15;7800000.0;microempresarial
175;femenino;comercio;variedades;buenos_aires;3;9;2018-08-01;1000000.0;microempresarial
176;femenino;industria;fabrica_de_;la_libertad;2;8;2018-05-31;7800000.0;microempresarial
177;femenino;comercio;variedades;el_chagualo;3;10;2018-05-25;7800000.0;microempresarial
178;femenino;comercio;miscelanea;popular;1;1;2016-10-26;4000000.0;microempresarial
179;femenino;industria;fabrica_de_arepas;san_javier_no_1;3;13;2016-06-15;6500000.0;microempresarial
180;femenino;industria;fabrica_de_;aranjuez;2;4;2018-03-22;3400000.0;microempresarial
181;masculino;comercio;comidas_rapidas;popular;2;1;2017-11-22;4000000.0;microempresarial
182;masculino;comercio;tienda;picacho;1;6;2018-05-04;7000000.0;microempresarial
183;femenino;industria;fabrica_de_;campo_valdes_no__1;3;4;2019-01-25;5000000.0;microempresarial
184;femenino;servicio;tienda;enciso;2;8;2017-04-25;5000000.0;microempresarial
185;femenino;industria;fabrica_de_;santa_cruz;2;2;2018-07-17;7800000.0;microempresarial
186;masculino;industria;fabrica_de_;trinidad;3;15;2016-05-19;3000000.0;microempresarial
187;femenino;comercio;fabrica_de_arepas;barrio_caicedo;2;9;2019-03-20;4000000.0;microempresarial
188;femenino;industria;fabrica_de_;robledo;2;7;2018-08-17;5000000.0;microempresarial
189;femenino;comercio;variedades;el_poblado;3;14;2017-06-16;7000000.0;microempresarial
190;femenino;comercio;comidas_rapidas;santa_cruz;2;2;2018-12-03;6000000.0;microempresarial
191;masculino;comercio;almacen_de_ropa_en_;santa_cruz;2;2;2019-02-05;8000000.0;microempresarial
192;femenino;industria;carpinteria;cabecera_san_antonio_;2;80;2016-09-15;6500000.0;microempresarial
193;masculino;servicio;recreativo_educativo;cabecera_san_cristobal;3;60;2019-02-06;7800000.0;microempresarial
194;femenino;industria;fabrica_de_;manrique_central_no__1;2;4;2019-06-27;8281000.0;microempresarial
195;masculino;industria;fabrica_de_repuestos_;la_floresta;2;12;2018-07-09;7800000.0;microempresarial
196;femenino;comercio;tienda;la_francia;2;2;2019-04-08;6000000.0;microempresarial
198;masculino;servicio;comidas_rapidas;castilla;2;5;2016-04-26;6890000.0;microempresarial
199;femenino;servicio;distribuidora_de_;san_javier_no_1;2;13;2017-04-03;7000000.0;microempresarial
200;masculino;industria;fabrica_de_repuestos_;guayabal;3;15;2017-12-29;7300000.0;microempresarial
201;femenino;industria;fabrica_de_;manrique_central_no__1;2;4;2018-08-21;3000000.0;microempresarial
202;femenino;comercio;almacen_de_ropa_en_;20_de_julio;1;13;2018-06-08;2000000.0;microempresarial
203;masculino;comercio;variedades;la_milagrosa;3;9;2018-03-09;5000000.0;microempresarial
204;femenino;servicio;peluqueria;aranjuez;2;4;2018-09-24;7800000.0;microempresarial
205;femenino;servicio;recreativo_educativo;castilla;3;5;2018-12-17;7500000.0;microempresarial
206;masculino;comercio;distribuidora_de_;villa_hermosa;3;8;2017-08-04;7300000.0;microempresarial
207;femenino;comercio;restaurante;manrique_central_no__1;2;4;2018-09-27;6000000.0;microempresarial
208;femenino;comercio;almacen_de_ropa_en_;buenos_aires;3;9;2017-06-14;7300000.0;microempresarial
209;femenino;comercio;taller_de_electronica;barrio_caicedo;1;9;2018-11-14;3000000.0;microempresarial
210;femenino;industria;fabrica_de_;castilla;3;5;2019-01-04;7800000.0;microempresarial
211;femenino;comercio;variedades;la_pradera;2;13;2017-07-10;7370000.0;microempresarial
212;masculino;servicio;productos_de_belleza;robledo;2;4;2018-07-10;5000000.0;microempresarial
213;femenino;industria;fabrica_de_muebles;castilla;3;5;2017-09-22;4000000.0;microempresarial
214;masculino;industria;fabrica_de_;buenos_aires;3;9;2019-06-12;2500000.0;microempresarial
215;femenino;industria;fabrica_de_;san_pablo;2;1;2018-02-21;1000000.0;microempresarial
216;masculino;comercio;almacen_de_ropa_en_;robledo;2;7;2017-07-10;7377000.0;microempresarial
217;femenino;comercio;tienda;manrique_central_no__2;3;3;2019-05-22;5000000.0;microempresarial
218;femenino;comercio;comidas_rapidas;robledo;2;7;2017-01-27;4000000.0;microempresarial
219;femenino;comercio;variedades;jardin_botanico;2;3;2019-01-30;4000000.0;microempresarial
220;masculino;industria;fabrica_de_;manrique_oriental;1;3;2018-10-03;7800000.0;microempresarial
221;masculino;servicio;lavanderia;robledo;3;7;2018-07-09;7800000.0;microempresarial
222;femenino;industria;fabrica_de_;buenos_aires;1;9;2018-07-12;4000000.0;microempresarial
223;femenino;comercio;venta_de_calzado;belen;2;16;2016-10-19;4000000.0;microempresarial
224;masculino;servicio;taller_de_electronica;san_javier_no_1;3;13;2019-02-15;8122200.0;microempresarial
225;masculino;comercio;tienda;manrique_central_no__1;3;4;2018-05-10;7800000.0;microempresarial
226;masculino;comercio;papeleria;el_salvador;3;9;2019-04-26;7000000.0;microempresarial
227;masculino;comercio;carpinteria;cabecera_san_cristobal;2;60;2018-08-01;3000000.0;microempresarial
228;masculino;industria;ebanistaria;belencito;2;13;2016-11-04;4000000.0;microempresarial
229;masculino;industria;fabrica_de_;cabecera_san_cristobal;2;60;2018-12-19;4000000.0;microempresarial
230;masculino;comercio;tienda;san_antonio;3;8;2019-06-21;4500000.0;microempresarial
231;femenino;servicio;criadero_de_animales_;belen;2;16;2017-03-09;4000000.0;microempresarial
232;femenino;comercio;variedades;miranda;2;4;2018-02-01;2000000.0;microempresarial
233;femenino;industria;fabrica_de_;tejelo;3;5;2017-04-24;5000000.0;microempresarial
234;masculino;servicio;recreativo_educativo;la_esperanza;3;6;2016-03-07;6890000.0;microempresarial
235;masculino;industria;ebanistaria;belencito;2;13;2018-05-18;2000000.0;microempresarial
236;femenino;industria;fabrica_de_;las_esmeraldas;2;4;2018-03-06;3000000.0;microempresarial
237;femenino;servicio;recreativo_educativo;robledo;2;7;2016-05-19;2000000.0;microempresarial
238;masculino;comercio;comidas_rapidas;barrio_caicedo;1;9;2018-10-03;7500000.0;microempresarial
240;masculino;comercio;restaurante;belen;2;16;2017-02-23;5000000.0;microempresarial
241;masculino;industria;comidas_rapidas;moravia;2;4;2018-06-27;3500000.0;microempresarial
242;masculino;industria;fabrica_de_productos_;santander;2;6;2017-08-18;7377000.0;microempresarial
243;masculino;industria;panaderia;castilla;2;5;2017-05-16;7370000.0;microempresarial
244;femenino;comercio;variedades;buenos_aires;3;9;2017-02-15;6800000.0;microempresarial
245;masculino;industria;fabrica_de_;campo_valdes_no__1;2;4;2018-03-07;6000000.0;microempresarial
246;femenino;comercio;almacen_de_ropa_en_;aranjuez;2;4;2018-08-13;7812242.0;microempresarial
247;femenino;servicio;mantenimiento_en_;doce_de_octubre_no_1;1;6;2017-01-27;6000000.0;microempresarial
248;femenino;comercio;variedades;santander;2;6;2018-06-21;6000000.0;microempresarial
249;femenino;industria;fabrica_de_;campo_valdes_no__1;3;4;2017-11-30;7000000.0;microempresarial
250;masculino;comercio;tienda_de_helados;campo_valdes_no__1;2;4;2016-04-11;6890000.0;microempresarial
251;masculino;comercio;tienda;belencito;2;13;2016-03-10;6890000.0;microempresarial
252;femenino;servicio;peluqueria;campo_valdes_no__1;3;4;2018-04-03;7800000.0;microempresarial
253;masculino;servicio;organización_y_;florencia;3;5;2018-08-21;6000000.0;microempresarial
254;femenino;industria;fabrica_de_;santa_cruz;2;2;2018-07-09;4500000.0;microempresarial
255;masculino;comercio;variedades;robledo;2;7;2017-01-17;7377000.0;microempresarial
256;masculino;industria;fabrica_de_;pablo_vi;2;2;2017-05-16;7000000.0;microempresarial
257;femenino;servicio;comidas_rapidas;boyaca;3;5;2018-03-06;6000000.0;microempresarial
258;masculino;servicio;variedades;robledo;2;7;2016-12-30;4000000.0;microempresarial
259;femenino;comercio;tienda;manrique_central_no__2;2;3;2016-05-06;3500000.0;microempresarial
260;femenino;industria;fabrica_de_;robledo;2;7;2018-07-10;3800000.0;microempresarial
261;masculino;comercio;cafeteria;santa_cruz;2;2;2018-08-08;7800000.0;microempresarial
262;femenino;comercio;variedades;belen;3;16;2017-07-12;7370000.0;microempresarial
263;femenino;comercio;variedades;la_francia;2;2;2018-08-01;6000000.0;microempresarial
264;masculino;comercio;legumbreria;pedregal;3;6;2018-03-15;7800000.0;microempresarial
265;masculino;comercio;variedades;campo_valdes_no__1;3;4;2018-03-07;7000000.0;microempresarial
266;masculino;comercio;restaurante;boyaca;3;5;2017-05-05;6000000.0;microempresarial
268;femenino;comercio;almacen_de_ropa_en_;robledo;1;7;2017-05-17;6000000.0;microempresarial
269;femenino;comercio;variedades;prado;3;10;2016-04-18;6890000.0;microempresarial
270;femenino;servicio;servicios_;robledo;2;7;2017-07-19;7300000.0;microempresarial
271;femenino;comercio;distribuidora_de_;cabecera_san_cristobal;2;60;2017-08-17;4000000.0;microempresarial
272;femenino;industria;fabrica_de_;picacho;1;6;2016-09-07;4000000.0;microempresarial
273;femenino;comercio;fabrica_de_;santa_cruz;2;2;2018-07-18;7812000.0;microempresarial
274;masculino;industria;fabrica_de_;doce_de_octubre_no_1;1;6;2017-05-31;5000000.0;microempresarial
275;femenino;comercio;variedades;picacho;2;6;2018-07-04;5000000.0;microempresarial
276;femenino;servicio;mantenimiento_en_;san_joaquin;3;11;2018-08-09;7800000.0;microempresarial
277;femenino;comercio;variedades;castilla;3;5;2016-09-02;6000000.0;microempresarial
278;masculino;servicio;mantenimiento_en_;la_america;3;12;2016-05-10;6890000.0;microempresarial
279;masculino;industria;fabrica_de_;robledo;2;7;2017-11-15;5000000.0;microempresarial
280;femenino;comercio;comidas_rapidas;manrique_oriental;2;7;2018-05-30;7800000.0;microempresarial
281;femenino;industria;fabrica_de_;manrique_central_no__2;2;3;2018-01-29;7800000.0;microempresarial
282;femenino;servicio;cafe_e_internet;san_javier_no_1;1;13;2018-10-31;3000000.0;microempresarial
283;masculino;comercio;comidas_rapidas;enciso;2;8;2019-06-12;8000000.0;microempresarial
284;femenino;comercio;tienda;campo_valdes_no__1;3;4;2016-02-25;300000.0;microempresarial
285;femenino;comercio;almacen_de_ropa_en_;villa_niza;2;2;2018-04-12;5000000.0;microempresarial
286;masculino;comercio;almacen_de_ropa_en_;barrio_caicedo;1;9;2018-08-14;5500000.0;microempresarial
287;femenino;industria;fabrica_de_;la_francia;2;2;2016-11-01;6890000.0;microempresarial
288;masculino;comercio;distribuidora_de_;el_pinal;2;8;2019-04-03;8281000.0;microempresarial
289;femenino;industria;fabrica_de_;buenos_aires;3;9;2019-03-11;8000000.0;microempresarial
290;femenino;industria;fabrica_de_;manrique_central_no__1;2;4;2018-04-24;5000000.0;microempresarial
291;masculino;comercio;restaurante;la_colina;3;15;2017-06-20;4000000.0;microempresarial
292;femenino;industria;fabrica_de_;santander;3;6;2017-02-08;3500000.0;microempresarial
293;masculino;industria;fabrica_de_;campo_valdes_no__1;2;4;2017-12-06;7300000.0;microempresarial
294;femenino;industria;variedades;aranjuez;3;4;2018-10-11;3000000.0;microempresarial
295;femenino;servicio;mantenimiento_en_;buenos_aires;1;9;2017-11-16;7000000.0;microempresarial
296;masculino;comercio;variedades;robledo;2;7;2018-01-26;5000000.0;microempresarial
297;masculino;comercio;comidas_rapidas;aranjuez;2;4;2018-05-10;1500000.0;microempresarial
298;femenino;industria;fabrica_de_repuestos_;san_benito;3;10;2018-05-28;5000000.0;microempresarial
299;femenino;servicio;peluqueria;aranjuez;3;4;2017-02-14;6000000.0;microempresarial
300;femenino;industria;variedades;aranjuez;3;4;2018-05-04;7800000.0;microempresarial
301;femenino;comercio;comidas_rapidas;robledo;3;7;2018-02-22;5000000.0;microempresarial
302;femenino;industria;fabrica_de_;aranjuez;3;4;2018-04-10;3000000.0;microempresarial
303;masculino;comercio;fabrica_de_calzado;manila;3;14;2019-04-22;1500000.0;microempresarial
